percent,drought,drought,drought,drought,graph,funding_gap
0.5,19.7307812004918,,,,19.7307812004918,-19.7307812004918
0.498,,,,,19.9414290760497,-19.9414290760497
0.496,,,,,20.2103379911952,-20.2103379911952
0.494,,,,,20.5444985391621,-20.5444985391621
0.492,,,,,20.8666757066239,-20.8666757066239
0.49,,,,,21.1870038467906,-21.1870038467906
0.488,,,,,21.5000960283039,-21.5000960283039
0.486,,,,,21.8851793631868,-21.8851793631868
0.484,,,,,22.2783285362803,-22.2783285362803
0.482,,,,,22.7260592345669,-22.7260592345669
0.48,,,,,23.0991991891298,-23.0991991891298
0.478,,,,,23.464129105506,-23.464129105506
0.476,,,,,23.8946299151521,-23.8946299151521
0.474,,,,,24.300141680856,-24.300141680856
0.472,,,,,24.6925352238606,-24.6925352238606
0.47,,,,,25.0360334226661,-25.0360334226661
0.468,,,,,25.4985599962422,-25.4985599962422
0.466,,,,,25.8970766367136,-25.8970766367136
0.464,,,,,26.1806365998769,-26.1806365998769
0.462,,,,,26.5105061838844,-26.5105061838844
0.46,,,,,26.9179028082047,-26.9179028082047
0.458,,,,,27.3951365310557,-27.3951365310557
0.456,,,,,27.8455609979379,-27.8455609979379
0.454,,,,,28.3612923510162,-28.3612923510162
0.452,,,,,28.8872980681004,-28.8872980681004
0.45,,,,,29.3944265754592,-29.3944265754592
0.448,,,,,29.7341420078491,-29.7341420078491
0.446,,,,,30.1313285393489,-30.1313285393489
0.444,,,,,30.5213012709429,-30.5213012709429
0.442,,,,,30.9310705080067,-30.9310705080067
0.44,,,,,31.3367128996605,-31.3367128996605
0.438,,,,,31.7639660800981,-31.7639660800981
0.436,,,,,32.2864048669136,-32.2864048669136
0.434,,,,,32.7273178319664,-32.7273178319664
0.432,,,,,33.1491253325477,-33.1491253325477
0.43,,,,,33.5415578011809,-33.5415578011809
0.428,,,,,34.0441004327691,-34.0441004327691
0.426,,,,,34.3960577790555,-34.3960577790555
0.424,,,,,34.8233552229727,-34.8233552229727
0.422,,,,,35.2990512980454,-35.2990512980454
0.42,,,,,35.7016095340575,-35.7016095340575
0.418,,,,,36.1930683407082,-36.1930683407082
0.416,,,,,36.7159074554026,-36.7159074554026
0.414,,,,,37.137029018502,-37.137029018502
0.412,,,,,37.5565463851606,-37.5565463851606
0.41,,,,,38.0107616772457,-38.0107616772457
0.408,,,,,38.4520238268531,-38.4520238268531
0.406,,,,,39.0242708704877,-39.0242708704877
0.404,,,,,39.6093903723167,-39.6093903723167
0.402,,,,,40.0693370994392,-40.0693370994392
0.4,,,,,40.4890253223807,-40.4890253223807
0.398,,,,,41.0111329741564,-41.0111329741564
0.396,,,,,41.5919160692646,-41.5919160692646
0.394,,,,,42.1748047690188,-42.1748047690188
0.392,,,,,42.5952619896763,-42.5952619896763
0.39,,,,,43.2639152024929,-43.2639152024929
0.388,,,,,43.7235313574483,-43.7235313574483
0.386,,,,,44.109672651459,-44.109672651459
0.384,,,,,44.6772629387918,-44.6772629387918
0.382,,,,,45.1755808037767,-45.1755808037767
0.38,,,,,45.9022367417534,-45.9022367417534
0.378,,,,,46.4576677477854,-46.4576677477854
0.376,,,,,47.1941591942333,-47.1941591942333
0.374,,,,,47.8268535441566,-47.8268535441566
0.372,,,,,48.4542270786854,-48.4542270786854
0.37,,,,,49.1122466755124,-49.1122466755124
0.368,,,,,49.6859462875019,-49.6859462875019
0.366,,,,,50.1768867576996,-50.1768867576996
0.364,,,,,51.0643820695011,-51.0643820695011
0.362,,,,,51.8385332183001,-51.8385332183001
0.36,,,,,52.6123186113494,-52.6123186113494
0.358,,,,,53.0705963522202,-53.0705963522202
0.356,,,,,53.7269496990268,-53.7269496990268
0.354,,,,,54.4411897938738,-54.4411897938738
0.352,,,,,55.0704388078266,-55.0704388078266
0.35,,,,,55.8375918144999,-55.8375918144999
0.348,,,,,56.9003863564277,-56.9003863564277
0.346,,,,,57.4337748860155,-57.4337748860155
0.344,,,,,58.2440753484011,-58.2440753484011
0.342,,,,,58.8614569058114,-58.8614569058114
0.34,,,,,59.7522612274856,-59.7522612274856
0.338,,,,,60.5411622485829,-60.5411622485829
0.336,,,,,61.2262831401728,-61.2262831401728
0.334,,,,,62.0022056075579,-62.0022056075579
0.332,,,,,62.7346933569443,-62.7346933569443
0.33,,,,,63.6628505098253,-63.6628505098253
0.328,,,,,64.418133516009,-64.418133516009
0.326,,,,,65.3092377242825,-65.3092377242825
0.324,,,,,66.423626823566,-66.423626823566
0.322,,,,,67.1353365768799,-67.1353365768799
0.32,,,,,67.695755034,-67.695755034
0.318,,,,,68.3911052100807,-68.3911052100807
0.316,,,,,69.2325412037903,-69.2325412037903
0.314,,,,,70.0804316895099,-70.0804316895099
0.312,,,,,70.9259547858565,-70.9259547858565
0.31,,,,,71.8334714047873,-71.8334714047873
0.308,,,,,72.7264377268473,-72.7264377268473
