Gamma,Lognormal,Weibull,Frechet,Gumbel,Beta,Pareto
0.387916460925321,0.331304353368068,0.201210396149954,N/A,N/A,0.079568789556658,N/A
0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143
0.371327437162745,0.33216582767568,0.279165884505666,N/A,N/A,0.017340850655909,N/A
0.35267787634392,0.28291594484811,0.343199572425031,N/A,N/A,0.021206606382939,N/A
