Country,Year,Inflation Index
Dominican Republic,2014,121.4359088
Dominican Republic,2015,122.4520194
Dominican Republic,2016,124.4285983
Dominican Republic,2017,
El Salvador,2002,75.63965169
El Salvador,2003,77.243508
El Salvador,2004,80.68234566
El Salvador,2005,84.46711311
El Salvador,2006,87.87715486
El Salvador,2007,91.90024634
El Salvador,2008,98.06484404
El Salvador,2009,99.10036006
El Salvador,2010,100
El Salvador,2011,105.1289238
El Salvador,2012,106.9472105
El Salvador,2013,107.7947771
El Salvador,2014,108.9867449
El Salvador,2015,108.1904511
El Salvador,2016,108.843855
El Salvador,2017,
Ethiopia,2002,32.65170964
Ethiopia,2003,38.4513991
Ethiopia,2004,39.70348159
Ethiopia,2005,44.84304933
Ethiopia,2006,50.3632287
Ethiopia,2007,59.04484305
Ethiopia,2008,85.25560538
Ethiopia,2009,92.47533632
Ethiopia,2010,100
Ethiopia,2011,133.2242152
Ethiopia,2012,163.5599831
Ethiopia,2013,176.773131
Ethiopia,2014,189.8398729
Ethiopia,2015,209.0784633
Ethiopia,2016,224.2702636
Ethiopia,2017,
Guatemala,2002,60.16182245
Guatemala,2003,63.53297618
Guatemala,2004,68.34790059
Guatemala,2005,74.57347154
Guatemala,2006,79.46612726
Guatemala,2007,84.88700253
Guatemala,2008,94.52656777
Guatemala,2009,96.28391359
Guatemala,2010,100
Guatemala,2011,106.2153418
Guatemala,2012,110.2329373
Guatemala,2013,115.0207631
Guatemala,2014,118.9525888
Guatemala,2015,121.7940335
Guatemala,2016,127.2119704
Guatemala,2017,
Haiti,2002,33.72074584
Haiti,2003,46.96674225
Haiti,2004,57.68065988
Haiti,2005,66.75304679
Haiti,2006,75.4748077
Haiti,2007,81.91189151
Haiti,2008,94.62435179
Haiti,2009,94.61050231
Haiti,2010,100
Haiti,2011,108.411071
Haiti,2012,115.2189237
Haiti,2013,121.9632319
Haiti,2014,127.5322847
Haiti,2015,139.0312572
Haiti,2016,158.2644834
Haiti,2017,
Honduras,2002,56.82861491
Honduras,2003,61.18973738
Honduras,2004,66.15454477
Honduras,2005,71.9821388
Honduras,2006,75.99712404
Honduras,2007,81.26844774
Honduras,2008,90.53810641
Honduras,2009,95.5104821
Honduras,2010,100
Honduras,2011,106.7622796
Honduras,2012,112.3098464
Honduras,2013,118.1071672
Honduras,2014,125.3462499
Honduras,2015,129.3044729
Honduras,2016,132.8275184
Honduras,2017,
India,2002,58.62310291
India,2003,60.85421961
India,2004,63.14674319
India,2005,65.82817701
India,2006,69.87366237
India,2007,74.32461239
India,2008,80.53206759
India,2009,89.29185556
India,2010,100
India,2011,108.8578453
