,Annual Average,Severe,Extreme
flood,107271.418573829,186694.493998321,1413544.04595879
0,,,
0,,,
0,,,
Overall,107271.418573829,186694.493998321,1413544.04595879
Graph,107271.418573829,186694.493998321,1413544.04595879
Funding Gap,-107271.418573829,-186694.493998321,-1413544.04595879
Error Bars (L),0,0,0
Error Bars (U),0,0,0
ErroBarX,0.1875,0.5,0.8125
,0.1875,0.5,0.8125
