,flood,flood,flood,flood,Graph,Funding Gap
0.246,,,,,57170.2546418679,-57170.2546418679
0.244,,,,,57785.731638875,-57785.731638875
0.242,,,,,58487.9519672401,-58487.9519672401
0.24,,,,,59321.8268108063,-59321.8268108063
0.238,,,,,59920.1729943491,-59920.1729943491
0.236,,,,,60779.8943061892,-60779.8943061892
0.234,,,,,61708.6798713533,-61708.6798713533
0.232,,,,,62571.9463618892,-62571.9463618892
0.23,,,,,63438.6995077451,-63438.6995077451
0.228,,,,,64319.5624094711,-64319.5624094711
0.226,,,,,65192.9215030315,-65192.9215030315
0.224,,,,,65885.6609372786,-65885.6609372786
0.222,,,,,66757.9307429376,-66757.9307429376
0.22,,,,,67594.0488915507,-67594.0488915507
0.218,,,,,68377.506176575,-68377.506176575
0.216,,,,,69604.2598510322,-69604.2598510322
0.214,,,,,70801.717943525,-70801.717943525
0.212,,,,,71915.7867248522,-71915.7867248522
0.21,,,,,73075.4092781714,-73075.4092781714
0.208,,,,,74010.8474111819,-74010.8474111819
0.206,,,,,74985.1734475578,-74985.1734475578
0.204,,,,,75993.7385373229,-75993.7385373229
0.202,,,,,76887.228602264,-76887.228602264
0.2,,,,,77656.9235850914,-77656.9235850914
0.198,,,,,78682.3394941205,-78682.3394941205
0.196,,,,,79591.3705755136,-79591.3705755136
0.194,,,,,80831.9758277609,-80831.9758277609
0.192,,,,,82011.6755415447,-82011.6755415447
0.19,,,,,83022.8550540098,-83022.8550540098
0.188,,,,,84125.6217795406,-84125.6217795406
0.186,,,,,85860.1145033809,-85860.1145033809
0.184,,,,,86985.8434166081,-86985.8434166081
0.182,,,,,87730.0788895066,-87730.0788895066
0.18,,,,,88834.4280086739,-88834.4280086739
0.178,,,,,90371.1103735992,-90371.1103735992
0.176,,,,,91497.5128551843,-91497.5128551843
0.174,,,,,92513.0418456528,-92513.0418456528
0.172,,,,,93662.8187462395,-93662.8187462395
0.17,,,,,94998.2475953139,-94998.2475953139
0.168,,,,,96933.8975771564,-96933.8975771564
0.166,,,,,98512.801000867,-98512.801000867
0.164,,,,,100194.788530849,-100194.788530849
0.162,,,,,101643.128186659,-101643.128186659
0.16,,,,,103246.837144723,-103246.837144723
0.158,,,,,104703.832317371,-104703.832317371
0.156,,,,,106323.313602382,-106323.313602382
0.154,,,,,108205.304705651,-108205.304705651
0.152,,,,,110462.921713355,-110462.921713355
0.15,,,,,112312.924811436,-112312.924811436
0.148,,,,,114394.1458398,-114394.1458398
0.146,,,,,116725.747483964,-116725.747483964
0.144,,,,,119053.235971968,-119053.235971968
0.142,,,,,120784.008079391,-120784.008079391
0.14,,,,,122999.113655735,-122999.113655735
0.138,,,,,125241.981388791,-125241.981388791
0.136,,,,,128329.945834816,-128329.945834816
0.134,,,,,131048.540348687,-131048.540348687
0.132,,,,,133341.948648412,-133341.948648412
0.13,,,,,135891.013610755,-135891.013610755
0.128,,,,,139007.411714086,-139007.411714086
0.126,,,,,141885.389171124,-141885.389171124
0.124,,,,,143971.13985179,-143971.13985179
0.122,,,,,147463.990657173,-147463.990657173
0.12,,,,,150113.536459512,-150113.536459512
0.118,,,,,152904.657073124,-152904.657073124
0.116,,,,,156316.74458695,-156316.74458695
0.114,,,,,159710.986290889,-159710.986290889
0.112,,,,,162985.86423356,-162985.86423356
0.11,,,,,166213.09516035,-166213.09516035
0.108,,,,,169283.254339753,-169283.254339753
0.106,,,,,173412.090854868,-173412.090854868
0.104,,,,,177950.097231123,-177950.097231123
0.102,,,,,181212.949666663,-181212.949666663
0.1,,,,,186694.493998324,-186694.493998324
0.098,,,,,191150.420753997,-191150.420753997
0.096,,,,,194878.07424667,-194878.07424667
0.094,,,,,198716.055563391,-198716.055563391
0.092,,,,,202373.385181869,-202373.385181869
0.09,,,,,206687.704784254,-206687.704784254
0.088,,,,,211098.497698203,-211098.497698203
0.086,,,,,216705.980699088,-216705.980699088
0.084,,,,,221300.422584097,-221300.422584097
0.082,,,,,227034.392963398,-227034.392963398
0.08,,,,,234251.27218033,-234251.27218033
0.078,,,,,241583.978118787,-241583.978118787
0.076,,,,,248080.836223154,-248080.836223154
0.074,,,,,255650.002142378,-255650.002142378
0.072,,,,,264015.421277964,-264015.421277964
0.07,,,,,271252.127069557,-271252.127069557
0.068,,,,,279276.834871584,-279276.834871584
0.066,,,,,286054.545314741,-286054.545314741
0.064,,,,,294208.994248943,-294208.994248943
0.062,,,,,306956.452072711,-306956.452072711
0.06,,,,,318094.524738306,-318094.524738306
0.058,,,,,330364.537841261,-330364.537841261
0.056,,,,,340854.680758066,-340854.680758066
0.054,,,,,351030.720993979,-351030.720993979
0.052,,,,,363138.165038323,-363138.165038323
0.05,,,,,378219.177526225,-378219.177526225
0.048,,,,,395385.840377352,-395385.840377352
0.046,,,,,408884.904185008,-408884.904185008
0.044,,,,,424172.341829738,-424172.341829738
0.042,,,,,443006.137627549,-443006.137627549
0.04,,,,,462236.779580446,-462236.779580446
0.038,,,,,479443.249210163,-479443.249210163
0.036,,,,,499575.01358742,-499575.01358742
0.034,,,,,527368.522671835,-527368.522671835
0.032,,,,,552537.243838134,-552537.243838134
0.03,,,,,595802.072711451,-595802.072711451
0.028,,,,,627340.652364954,-627340.652364954
0.026,,,,,673854.843489368,-673854.843489368
0.024,,,,,722437.325064571,-722437.325064571
0.022,,,,,771702.729392029,-771702.729392029
0.02,,,,,827470.710136779,-827470.710136779
0.018,,,,,892732.111347173,-892732.111347173
0.016,,,,,981516.976622993,-981516.976622993
0.014,,,,,1080530.05252712,-1080530.05252712
0.012,,,,,1198448.46691739,-1198448.46691739
0.01,,,,,1413544.04595888,-1413544.04595888
0.008,,,,,1720858.86258086,-1720858.86258086
0.006,,,,,2248063.12326797,-2248063.12326797
0.004,,,,,3030921.36310223,-3030921.36310223
0.002,,,,,4709866.5518204,-4709866.5518204
