,Annual Average,Severe,Extreme
drought,536664.675152648,855138.202079787,2152723.70449895
0,,,
0,,,
0,,,
Overall,536664.675152648,855138.202079787,2152723.70449895
Graph,536664.675152648,855138.202079787,2152723.70449895
Funding Gap,-536664.675152648,-855138.202079787,-2152723.70449895
Error Bars (L),0,0,0
Error Bars (U),0,0,0
ErroBarX,0.1875,0.5,0.8125
,0.1875,0.5,0.8125
