,Gamma,Lognormal,Weibull,Frechet,Gumbel,Beta,Pareto
drought,0.28602341689114,0.350501292155179,0.218875117420391,0.120979763271379,N/A,0.023620410261911,N/A
,0.132833050439107,0.336058179550881,0.095740997416261,0.435367772593751,N/A,1.14334070792724E-94,N/A
,0.464706132113435,0.080614901619881,0.454678966266685,N/A,N/A,2.38383039508848E-23,N/A
,0.466847110577024,0.156798991847532,0.375374181433975,N/A,N/A,0.000979716141469,N/A
