,drought,drought,drought,drought,Graph,Funding Gap
0.282,692114.956950774,,,,692114.956950774,-692114.956950774
0.28,695520.625663793,,,,695520.625663793,-695520.625663793
0.278,698435.12053529,,,,698435.12053529,-698435.12053529
0.276,703299.345110348,,,,703299.345110348,-703299.345110348
0.274,706479.994924386,,,,706479.994924386,-706479.994924386
0.272,709562.986540176,,,,709562.986540176,-709562.986540176
0.27,713559.930593849,,,,713559.930593849,-713559.930593849
0.268,716297.846084968,,,,716297.846084968,-716297.846084968
0.266,719932.48116892,,,,719932.48116892,-719932.48116892
0.264,723478.452879058,,,,723478.452879058,-723478.452879058
0.262,727219.836336805,,,,727219.836336805,-727219.836336805
0.26,730399.224113842,,,,730399.224113842,-730399.224113842
0.258,734501.626329246,,,,734501.626329246,-734501.626329246
0.256,739179.188866233,,,,739179.188866233,-739179.188866233
0.254,742319.070933167,,,,742319.070933167,-742319.070933167
0.252,745222.468963163,,,,745222.468963163,-745222.468963163
0.25,748293.963028103,,,,748293.963028103,-748293.963028103
0.248,751336.548570494,,,,751336.548570494,-751336.548570494
0.246,756877.124383519,,,,756877.124383519,-756877.124383519
0.244,760190.511966034,,,,760190.511966034,-760190.511966034
0.242,763938.624250147,,,,763938.624250147,-763938.624250147
0.24,768345.722973501,,,,768345.722973501,-768345.722973501
0.238,771479.371815192,,,,771479.371815192,-771479.371815192
0.236,775940.831287727,,,,775940.831287727,-775940.831287727
0.234,780707.583768534,,,,780707.583768534,-780707.583768534
0.232,785089.715174632,,,,785089.715174632,-785089.715174632
0.23,789443.790028907,,,,789443.790028907,-789443.790028907
0.228,793822.921714113,,,,793822.921714113,-793822.921714113
0.226,798120.13634856,,,,798120.13634856,-798120.13634856
0.224,801497.716749305,,,,801497.716749305,-801497.716749305
0.222,805712.534280944,,,,805712.534280944,-805712.534280944
0.22,809713.608185182,,,,809713.608185182,-809713.608185182
0.218,813428.702438289,,,,813428.702438289,-813428.702438289
0.216,819181.40091514,,,,819181.40091514,-819181.40091514
0.214,824722.763452724,,,,824722.763452724,-824722.763452724
0.212,829814.468962453,,,,829814.468962453,-829814.468962453
0.21,835050.8750415,,,,835050.8750415,-835050.8750415
0.208,839228.926046193,,,,839228.926046193,-839228.926046193
0.206,843537.983932312,,,,843537.983932312,-843537.983932312
0.204,847953.595917,,,,847953.595917,-847953.595917
0.202,851828.078186614,,,,851828.078186614,-851828.078186614
0.2,855138.202079787,,,,855138.202079787,-855138.202079787
0.198,859509.202153137,,,,859509.202153137,-859509.202153137
0.196,863347.735095503,,,,863347.735095503,-863347.735095503
0.194,868532.445560105,,,,868532.445560105,-868532.445560105
