Gamma,Lognormal,Weibull,Frechet,Gumbel,Beta,Pareto
1.47005087328807,12.7889399425614,1.11609167732195,1.06120119677125,323891.453666319,0.727901783543442,0.636569351106689
355337.954543156,0.826999851671842,560396.216487974,226386.682136713,331352.175357417,4.64440427119893,74460.1376774848
0,0,0,0,1,0,1
,,,,,3402025.72256285,
