,drought,drought,drought,drought,Graph,Funding Gap
0.286,1124660517.91859,,,,1124660517.91859,-1124660517.91859
0.284,1130265514.02714,,,,1130265514.02714,-1130265514.02714
0.282,1133837451.90145,,,,1133837451.90145,-1133837451.90145
0.28,1139672616.93106,,,,1139672616.93106,-1139672616.93106
0.278,1144667790.97073,,,,1144667790.97073,-1144667790.97073
0.276,1153007840.13552,,,,1153007840.13552,-1153007840.13552
0.274,1158463454.01853,,,,1158463454.01853,-1158463454.01853
0.272,1163753193.29144,,,,1163753193.29144,-1163753193.29144
0.27,1170613459.66961,,,,1170613459.66961,-1170613459.66961
0.268,1175314308.85497,,,,1175314308.85497,-1175314308.85497
0.266,1181556719.53237,,,,1181556719.53237,-1181556719.53237
0.264,1187648981.87609,,,,1187648981.87609,-1187648981.87609
0.262,1194079252.68179,,,,1194079252.68179,-1194079252.68179
0.26,1199545459.4879,,,,1199545459.4879,-1199545459.4879
0.258,1206601050.75063,,,,1206601050.75063,-1206601050.75063
0.256,1214649237.3068,,,,1214649237.3068,-1214649237.3068
0.254,1220053724.81041,,,,1220053724.81041,-1220053724.81041
0.252,1225052609.75215,,,,1225052609.75215,-1225052609.75215
0.25,1230342417.51929,,,,1230342417.51929,-1230342417.51929
0.248,1235583961.18309,,,,1235583961.18309,-1235583961.18309
0.246,1245132742.2502,,,,1245132742.2502,-1245132742.2502
0.244,1250845511.86103,,,,1250845511.86103,-1250845511.86103
0.242,1257309958.7978,,,,1257309958.7978,-1257309958.7978
0.24,1264913880.74193,,,,1264913880.74193,-1264913880.74193
0.238,1270322523.32983,,,,1270322523.32983,-1270322523.32983
0.236,1278025679.40725,,,,1278025679.40725,-1278025679.40725
0.234,1286259477.08265,,,,1286259477.08265,-1286259477.08265
0.232,1293832109.52733,,,,1293832109.52733,-1293832109.52733
0.23,1301359289.50116,,,,1301359289.50116,-1301359289.50116
0.228,1308932820.30379,,,,1308932820.30379,-1308932820.30379
0.226,1316367630.16931,,,,1316367630.16931,-1316367630.16931
0.224,1322213384.31406,,,,1322213384.31406,-1322213384.31406
0.222,1329510706.28281,,,,1329510706.28281,-1329510706.28281
0.22,1336440542.74129,,,,1336440542.74129,-1336440542.74129
0.218,1342877307.42949,,,,1342877307.42949,-1342877307.42949
0.216,1352848667.62009,,,,1352848667.62009,-1352848667.62009
0.214,1362458575.69705,,,,1362458575.69705,-1362458575.69705
0.212,1371292873.87482,,,,1371292873.87482,-1371292873.87482
0.21,1380382403.41856,,,,1380382403.41856,-1380382403.41856
0.208,1387637827.44917,,,,1387637827.44917,-1387637827.44917
0.206,1395123554.31009,,,,1395123554.31009,-1395123554.31009
0.204,1402797330.77551,,,,1402797330.77551,-1402797330.77551
0.202,1409533138.8615,,,,1409533138.8615,-1409533138.8615
0.2,1415289612.54132,,,,1415289612.54132,-1415289612.54132
0.198,1422893548.96491,,,,1422893548.96491,-1422893548.96491
0.196,1429573567.16035,,,,1429573567.16035,-1429573567.16035
0.194,1438599799.42871,,,,1438599799.42871,-1438599799.42871
0.192,1447088344.06753,,,,1447088344.06753,-1447088344.06753
0.19,1454292762.10491,,,,1454292762.10491,-1454292762.10491
0.188,1462075967.31813,,,,1462075967.31813,-1462075967.31813
0.186,1474166194.9029,,,,1474166194.9029,-1474166194.9029
0.184,1481916378.7553,,,,1481916378.7553,-1481916378.7553
0.182,1486999321.79933,,,,1486999321.79933,-1486999321.79933
0.18,1494483015.09539,,,,1494483015.09539,-1494483015.09539
0.178,1504782136.9644,,,,1504782136.9644,-1504782136.9644
0.176,1512249014.02168,,,,1512249014.02168,-1512249014.02168
0.174,1518922409.42568,,,,1518922409.42568,-1518922409.42568
0.172,1526412387.0201,,,,1526412387.0201,-1526412387.0201
0.17,1535026119.33897,,,,1535026119.33897,-1535026119.33897
0.168,1547352227.63924,,,,1547352227.63924,-1547352227.63924
0.166,1557271032.61933,,,,1557271032.61933,-1557271032.61933
0.164,1567707286.04339,,,,1567707286.04339,-1567707286.04339
0.162,1576589291.84739,,,,1576589291.84739,-1576589291.84739
0.16,1586314004.03923,,,,1586314004.03923,-1586314004.03923
0.158,1595051253.48122,,,,1595051253.48122,-1595051253.48122
0.156,1604656346.78445,,,,1604656346.78445,-1604656346.78445
0.154,1615681143.95709,,,,1615681143.95709,-1615681143.95709
0.152,1628717581.82405,,,,1628717581.82405,-1628717581.82405
0.15,1639251435.64428,,,,1639251435.64428,-1639251435.64428
0.148,1650946531.5125,,,,1650946531.5125,-1650946531.5125
0.146,1663859287.43172,,,,1663859287.43172,-1663859287.43172
0.144,1676556191.10326,,,,1676556191.10326,-1676556191.10326
0.142,1685876758.37736,,,,1685876758.37736,-1685876758.37736
0.14,1697659024.2881,,,,1697659024.2881,-1697659024.2881
0.138,1709426158.72841,,,,1709426158.72841,-1709426158.72841
0.136,1725368003.00875,,,,1725368003.00875,-1725368003.00875
0.134,1739163534.50377,,,,1739163534.50377,-1739163534.50377
0.132,1750633188.11415,,,,1750633188.11415,-1750633188.11415
0.13,1763206362.78157,,,,1763206362.78157,-1763206362.78157
0.128,1778335881.19971,,,,1778335881.19971,-1778335881.19971
0.126,1792079691.68249,,,,1792079691.68249,-1792079691.68249
0.124,1801907670.18121,,,,1801907670.18121,-1801907670.18121
0.122,1818124657.60557,,,,1818124657.60557,-1818124657.60557
0.12,1830231215.90641,,,,1830231215.90641,-1830231215.90641
0.118,1842808769.22162,,,,1842808769.22162,-1842808769.22162
0.116,1857947576.24647,,,,1857947576.24647,-1857947576.24647
0.114,1872757408.09529,,,,1872757408.09529,-1872757408.09529
0.112,1886818775.96682,,,,1886818775.96682,-1886818775.96682
0.11,1900464418.61944,,,,1900464418.61944,-1900464418.61944
0.108,1913257644.72478,,,,1913257644.72478,-1913257644.72478
0.106,1930183347.05733,,,,1930183347.05733,-1930183347.05733
0.104,1948431010.92869,,,,1948431010.92869,-1948431010.92869
0.102,1961330222.86708,,,,1961330222.86708,-1961330222.86708
0.1,1982601385.28617,,,,1982601385.28617,-1982601385.28617
0.098,1999539210.03868,,,,1999539210.03868,-1999539210.03868
0.096,2013474848.39872,,,,2013474848.39872,-2013474848.39872
0.094,2027608302.01762,,,,2027608302.01762,-2027608302.01762
0.092,2040880357.21837,,,,2040880357.21837,-2040880357.21837
0.09,2056298889.94905,,,,2056298889.94905,-2056298889.94905
0.088,2071805235.7543,,,,2071805235.7543,-2071805235.7543
0.086,2091157946.04535,,,,2091157946.04535,-2091157946.04535
0.084,2106725321.54336,,,,2106725321.54336,-2106725321.54336
0.082,2125803368.99064,,,,2125803368.99064,-2125803368.99064
0.08,2149286648.31273,,,,2149286648.31273,-2149286648.31273
0.078,2172573738.77349,,,,2172573738.77349,-2172573738.77349
0.076,2192747471.44683,,,,2192747471.44683,-2192747471.44683
0.074,2215734145.086,,,,2215734145.086,-2215734145.086
0.072,2240524548.14152,,,,2240524548.14152,-2240524548.14152
0.07,2261475917.53189,,,,2261475917.53189,-2261475917.53189
0.068,2284199486.58025,,,,2284199486.58025,-2284199486.58025
0.066,2302993940.35996,,,,2302993940.35996,-2302993940.35996
0.064,2325145189.89385,,,,2325145189.89385,-2325145189.89385
0.062,2358819034.59785,,,,2358819034.59785,-2358819034.59785
0.06,2387345807.82017,,,,2387345807.82017,-2387345807.82017
0.058,2417868297.76046,,,,2417868297.76046,-2417868297.76046
0.056,2443256630.07564,,,,2443256630.07564,-2443256630.07564
0.054,2467297251.59969,,,,2467297251.59969,-2467297251.59969
0.052,2495187587.9204,,,,2495187587.9204,-2495187587.9204
0.05,2528908135.70572,,,,2528908135.70572,-2528908135.70572
0.048,2566008339.47932,,,,2566008339.47932,-2566008339.47932
0.046,2594286796.87212,,,,2594286796.87212,-2594286796.87212
0.044,2625421595.74926,,,,2625421595.74926,-2625421595.74926
0.042,2662563666.67839,,,,2662563666.67839,-2662563666.67839
0.04,2699200307.10734,,,,2699200307.10734,-2699200307.10734
0.038,2730954219.66879,,,,2730954219.66879,-2730954219.66879
0.036,2766960322.78409,,,,2766960322.78409,-2766960322.78409
0.034,2814790158.05984,,,,2814790158.05984,-2814790158.05984
0.032,2856374204.68697,,,,2856374204.68697,-2856374204.68697
0.03,2924396364.18939,,,,2924396364.18939,-2924396364.18939
0.028,2971494867.3378,,,,2971494867.3378,-2971494867.3378
0.026,3037554023.78906,,,,3037554023.78906,-3037554023.78906
0.024,3102690006.40106,,,,3102690006.40106,-3102690006.40106
0.022,3165179006.64484,,,,3165179006.64484,-3165179006.64484
0.02,3232085839.72474,,,,3232085839.72474,-3232085839.72474
0.018,3305830475.19437,,,,3305830475.19437,-3305830475.19437
0.016,3399331568.97466,,,,3399331568.97466,-3399331568.97466
0.014,3495697104.71911,,,,3495697104.71911,-3495697104.71911
0.012,3601345830.94826,,,,3601345830.94826,-3601345830.94826
0.01,3773583198.31253,,,,3773583198.31253,-3773583198.31253
0.008,3985072387.01752,,,,3985072387.01752,-3985072387.01752
0.006,4283284532.64512,,,,4283284532.64512,-4283284532.64512
0.004,4631678458.03406,,,,4631678458.03406,-4631678458.03406
0.002,5174711603.41708,,,,5174711603.41708,-5174711603.41708
