,Annual Average,Severe,Extreme
drought,889327636.281151,1982601385.28616,3773583198.31247
0,,,
0,,,
0,,,
Overall,889327636.281151,1982601385.28616,3773583198.31247
Graph,889327636.281151,1982601385.28616,3773583198.31247
Funding Gap,-889327636.281151,-1982601385.28616,-3773583198.31247
Error Bars (L),0,0,0
Error Bars (U),0,0,0
ErroBarX,0.1875,0.5,0.8125
,0.1875,0.5,0.8125
