Country,Year,Type of event,Total affected,Total Damage
Philippines (the),2013,Flood,4500338,2234788000
Philippines (the),2013,Storm,17944571,10136563000
Philippines (the),2014,Flood,145130,0
Philippines (the),2014,Storm,13068983,1062899000
Philippines (the),2015,Drought,181687,84399000
Philippines (the),2015,Flood,231309,200000
Philippines (the),2015,Storm,3606205,1881367000
Philippines (the),2016,Earthquake,202,0
Philippines (the),2016,Flood,2563098,9320000
Philippines (the),2016,Storm,2971512,170754000
Philippines (the),2017,Earthquake,59937,20338000
Philippines (the),2017,Flood,1834000,8100000
Philippines (the),2017,Storm,860,2000000
Romania,2002,Flood,8701,290000
Romania,2003,Flood,600,0
Romania,2004,Flood,28128,0
Romania,2004,Storm,2400,0
Romania,2005,Flood,56571,1313000000
Romania,2005,Storm,0,0
Romania,2006,Flood,24583,0
Romania,2007,Flood,4260,0
Romania,2008,Flood,11000,0
Romania,2008,Storm,90,0
Romania,2009,Flood,4,0
Romania,2010,Flood,12237,1111428000
Romania,2013,Flood,5400,11000000
Romania,2014,Flood,525,0
Romania,2015,Flood,1500,0
Romania,2016,Flood,300,0
Somalia,2002,Flood,0,0
Somalia,2003,Flood,300,0
Somalia,2004,Drought,200000,0
Somalia,2004,Earthquake,105083,100000000
Somalia,2004,Flood,1500,0
Somalia,2005,Drought,0,0
Somalia,2005,Flood,7520,20000
Somalia,2006,Flood,486500,0
Somalia,2007,Flood,10012,0
Somalia,2008,Drought,3300000,0
Somalia,2008,Flood,52000,0
Somalia,2009,Flood,1750,0
Somalia,2010,Drought,4000000,0
Somalia,2010,Flood,16200,0
Somalia,2011,Flood,2800,0
Somalia,2012,Drought,3000000,0
Somalia,2012,Flood,32200,0
Somalia,2013,Flood,105000,0
Somalia,2013,Storm,142380,2000000
Somalia,2014,Drought,535624,0
Somalia,2014,Flood,90000,0
Somalia,2015,Drought,4700000,0
Somalia,2015,Flood,916296,0
Somalia,2015,Storm,4000,0
Somalia,2016,Flood,0,0
South Africa,2002,Flood,2500,0
South Africa,2002,Storm,101216,14041000
South Africa,2003,Flood,500,0
South Africa,2003,Storm,600,0
South Africa,2004,Drought,15000000,0
South Africa,2004,Flood,15000,0
South Africa,2005,Earthquake,58,20000000
South Africa,2006,Flood,7160,216000000
South Africa,2007,Flood,38000,0
South Africa,2008,Flood,4000,1264000
South Africa,2008,Storm,3576,0
South Africa,2009,Flood,20300,0
South Africa,2009,Storm,0,15000000
South Africa,2010,Storm,6000,0
South Africa,2011,Flood,200321,211000000
South Africa,2011,Storm,6323,10000000
South Africa,2012,Flood,125000,200000000
South Africa,2012,Storm,1350,0
South Africa,2013,Storm,2870,0
South Africa,2014,Earthquake,2002,0
South Africa,2014,Flood,7185,85000000
South Africa,2015,Drought,2700000,250000000
South Africa,2016,Flood,7500,280000000
South Africa,2017,Flood,200,0
South Africa,2017,Storm,10000,0
Sri Lanka,2002,Flood,500000,0
Sri Lanka,2003,Flood,695000,29000000
Sri Lanka,2004,Earthquake,1019306,1316500000
Sri Lanka,2004,Flood,200000,0
Sri Lanka,2005,Flood,145000,0
Sri Lanka,2006,Flood,333002,3000000
Sri Lanka,2007,Flood,406000,50000
Sri Lanka,2008,Flood,776905,0
Sri Lanka,2008,Storm,50000,0
Sri Lanka,2009,Flood,380000,0
Sri Lanka,2010,Flood,770265,105000000
Sri Lanka,2011,Flood,1293924,500000000
Sri Lanka,2011,Storm,35041,0
Sri Lanka,2012,Drought,1800000,0
Sri Lanka,2012,Flood,447021,1200000
Sri Lanka,2012,Storm,69000,57000000
Sri Lanka,2013,Flood,73961,2000000
Sri Lanka,2013,Storm,7339,0
Sri Lanka,2014,Drought,1800000,25000000
Sri Lanka,2014,Flood,1204029,2000000
Sri Lanka,2015,Flood,27309,0
Sri Lanka,2016,Drought,900000,20000000
Sri Lanka,2016,Flood,301602,1200000000
Sri Lanka,2017,Flood,769410,197000000
Tajikistan,2002,Earthquake,1550,0
Tajikistan,2002,Flood,4251,2836000
Tajikistan,2003,Flood,1755,20000000
Tajikistan,2004,Earthquake,180,0
Tajikistan,2004,Flood,400000,12000000
Tajikistan,2005,Flood,5112,50000000
Tajikistan,2006,Earthquake,15427,22000000
Tajikistan,2007,Earthquake,7003,0
Tajikistan,2007,Flood,17309,0
Tajikistan,2008,Drought,800000,0
Tajikistan,2009,Flood,15000,1000000
Tajikistan,2010,Earthquake,7840,1500000
Tajikistan,2010,Flood,8622,204000000
Tajikistan,2011,Earthquake,0,0
Tajikistan,2011,Flood,2130,0
Tajikistan,2012,Earthquake,2531,0
Tajikistan,2012,Flood,5556,760000
Tajikistan,2014,Flood,13223,2000000
Tajikistan,2015,Earthquake,7976,5000000
Tajikistan,2015,Flood,10802,0
Tajikistan,2016,Earthquake,155,0
Tajikistan,2016,Flood,12750,0
Tajikistan,2017,Flood,700,0
Viet Nam,2002,Drought,1300000,200000000
Viet Nam,2002,Flood,1431816,84100000
Viet Nam,2002,Storm,1800,100000
Viet Nam,2003,Flood,416823,105000000
Viet Nam,2003,Storm,5018,0
Viet Nam,2004,Flood,35018,8000000
Viet Nam,2004,Storm,500905,30000000
Viet Nam,2005,Drought,410000,42120000
Viet Nam,2005,Flood,92393,54000000
Viet Nam,2005,Storm,367660,250250000
Viet Nam,2006,Flood,52120,9000000
Viet Nam,2006,Storm,3297290,1090000000
Viet Nam,2007,Flood,962172,790000000
Viet Nam,2007,Storm,685430,191000000
Viet Nam,2008,Flood,632504,483000000
Viet Nam,2008,Storm,156649,190500000
Viet Nam,2009,Flood,740000,0
Viet Nam,2009,Storm,2977460,1065200000
Viet Nam,2010,Flood,1489833,660200000
Viet Nam,2010,Storm,34600,44500000
Viet Nam,2011,Flood,1361584,219002000
Viet Nam,2011,Storm,63,0
Viet Nam,2012,Flood,17540,30000000
Viet Nam,2012,Storm,338972,342800000
Viet Nam,2013,Flood,2161001,78500000
Viet Nam,2013,Storm,1963444,1474230000
Viet Nam,2014,Storm,48075,10700000
Viet Nam,2015,Drought,1750000,6750000000
Viet Nam,2015,Flood,15100,204000000
Viet Nam,2015,Storm,115,0
Viet Nam,2016,Flood,1428585,161280000
Viet Nam,2016,Storm,995340,685157000
Viet Nam,2017,Flood,4504,1655000
Viet Nam,2017,Storm,21000,0
Yemen,2002,Flood,700,0
Yemen,2003,Flood,0,0
Yemen,2005,Flood,721,0
Yemen,2006,Flood,2320,0
Yemen,2007,Flood,2618,0
Yemen,2008,Flood,25064,400000000
Yemen,2010,Flood,1002,0
Yemen,2013,Flood,49092,0
Yemen,2015,Storm,125065,200000000
Yemen,2016,Flood,29750,0
